식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
치즈폼 딥초코 밀크티 (hot),397,mL,0,397,523,10.6,0,0,30.7,311,0,18,0,0
치즈폼 딥초코 스무디,454,mL,0,454,430.4,3.3,0,0,27.6,181.1,0,14.4,0,0
블랙밀크티+펄 (ice)L,454,mL,0,454,363.6,1,0,0,47,55.7,0,11.6,0,0
블랙밀크티+펄 (hot)L,397,mL,0,397,174.3,5.5,0,0,12.4,68,0,0.4,0,0
블랙밀크티+펄 (ice)J,624,mL,0,624,463.6,1.3,0,0,62.5,73.7,0,15.9,0,0
블랙밀크티+펄 (hot)J,454,mL,0,454,183.8,6.2,0,0,13.2,75.8,0,0.4,0,0
타로밀크티+펄 (ice)L,454,mL,0,454,330.3,1,0,0,49.7,53.9,0,10.3,0,0
타로밀크티+펄 (hot)L,397,mL,0,397,383.1,1.2,0,0,12.2,100.6,0,0.4,0,0
타로밀크티+펄 (ice)J,624,mL,0,624,417.9,1.3,0,0,66.2,71.2,0,13.7,0,0
타로밀크티+펄 (hot)J,454,mL,0,454,418.6,1.3,0,0,13,112.1,0,0.4,0,0
초콜렛밀크티 + 밀크폼(ice)L,454,mL,0,454,251.7,2.5,0,0,24.7,166.1,0,5.8,0,0
초콜렛밀크티 + 밀크폼(hot)L,397,mL,0,397,331,2.9,0,0,5.8,200.1,0,0.1,0,0
초콜렛밀크티 + 밀크폼(ice)J,624,mL,0,624,311.5,3.2,0,0,33.9,177.6,0,8,0,0
초콜렛밀크티 + 밀크폼(hot)J,454,mL,0,454,360.7,3.2,0,0,6.3,208.2,0,0.1,0,0
